term,raw_count_domain,tf,df_wikipedia,idf,tfidf_score,in_wikipedia,below_min_df,domain_score
airworthiness,3,2.098612,986,9.778359,20.520984,true,false,98
skydrol,1,1.0,3,15.286735,15.286735,true,true,98
combustor,60,5.094345,210,11.321171,57.673945,true,false,95
airfoil,44,4.78419,1216,9.568885,45.779359,true,false,95
alodine,6,2.791759,1,15.979882,44.611986,true,true,95
aircraft,1357,8.213032,106798,5.094325,41.839853,true,false,95
skydroll,2,1.693147,0,16.673029,28.229892,false,false,95
fadac,2,1.693147,7,14.593587,24.709091,true,false,95
birdstrike,2,1.693147,42,12.911829,21.861626,true,false,95
hangar,5,2.609438,6327,7.920289,20.667503,true,false,95
boeing,6,2.791759,14125,7.117257,19.869668,true,false,95
abradableseal,1,1.0,0,16.673029,16.673029,false,false,95
lokwire,1,1.0,0,16.673029,16.673029,false,false,95
borescopeinspection,1,1.0,0,16.673029,16.673029,false,false,95
aerodrome,3,2.098612,6288,7.926472,16.634591,true,false,95
llp,2,1.693147,4291,8.308521,14.067549,true,false,95
fod,1,1.0,163,11.573162,11.573162,true,false,95
nacelle,1,1.0,710,10.106356,10.106356,true,false,95
spinnercone,17,3.833213,0,16.673029,63.911277,false,false,92
fancase,12,3.484907,0,16.673029,58.103949,false,false,92
aftmount,7,2.94591,0,16.673029,49.117245,false,false,92
aft,228,6.429346,10572,7.40697,47.62197,true,false,92
containmentcase,4,2.386294,0,16.673029,39.786755,false,false,92
abradible,2,1.693147,0,16.673029,28.229892,false,false,92
thrustmount,2,1.693147,0,16.673029,28.229892,false,false,92
boostervane,2,1.693147,0,16.673029,28.229892,false,false,92
bleedcontrole,2,1.693147,0,16.673029,28.229892,false,false,92
spletter,2,1.693147,10,14.275134,24.169902,true,false,92
bellcrank,2,1.693147,26,13.377192,22.649555,true,false,92
agbdampener,1,1.0,0,16.673029,16.673029,false,false,92
inletcowl,1,1.0,0,16.673029,16.673029,false,false,92
releasecert,1,1.0,0,16.673029,16.673029,false,false,92
nozzlevane,1,1.0,0,16.673029,16.673029,false,false,92
chipdetector,1,1.0,0,16.673029,16.673029,false,false,92
tipshroud,1,1.0,0,16.673029,16.673029,false,false,92
birdcase,11,3.397895,0,16.673029,56.653206,false,false,90
saftywire,1,1.0,0,16.673029,16.673029,false,false,90
highlock,1,1.0,0,16.673029,16.673029,false,false,90
missingabradable,1,1.0,0,16.673029,16.673029,false,false,90
abradabel,1,1.0,0,16.673029,16.673029,false,false,90
