term,raw_count_domain,tf,df_wikipedia,idf,tfidf_score,in_wikipedia,below_min_df,domain_score
fadac,2,1.693147,7,14.593587,24.709091,true,false,100
benchwork,2,1.693147,7,14.593587,24.709091,true,false,100
swirler,2,1.693147,8,14.475804,24.509667,true,false,100
birdstrike,2,1.693147,42,12.911829,21.861626,true,false,100
hangar,5,2.609438,6327,7.920289,20.667503,true,false,100
heli,2,1.693147,847,9.930148,16.813203,true,false,100
borescopeinspection,1,1.0,0,16.673029,16.673029,false,false,100
brescope,1,1.0,0,16.673029,16.673029,false,false,100
aviation,5,2.609438,58732,5.692272,14.85363,true,false,100
fod,1,1.0,163,11.573162,11.573162,true,false,100
tipclearance,51,4.931826,0,16.673029,82.228471,false,false,95
testcell,20,3.995732,0,16.673029,66.62096,false,false,95
tipcorner,19,3.944439,0,16.673029,65.765745,false,false,95
airworthiness,3,2.098612,986,9.778359,20.520984,true,false,95
transportstand,1,1.0,0,16.673029,16.673029,false,false,95
airspeed,1,1.0,1746,9.207374,9.207374,true,false,95
oilscavenge,1,1.0,0,16.673029,16.673029,false,false,92
fanblade,179,6.187386,3,15.286735,94.584924,true,true,90
borescope,323,6.777652,25,13.414932,90.921747,true,false,90
starterduct,20,3.995732,0,16.673029,66.62096,false,false,90
combustor,60,5.094345,210,11.321171,57.673945,true,false,90
turbine,815,7.703188,10192,7.443572,57.339238,true,false,90
guidepad,8,3.079442,0,16.673029,51.343618,false,false,90
aftmount,7,2.94591,0,16.673029,49.117245,false,false,90
sprayshield,8,3.079442,2,15.574417,47.960505,true,true,90
oiltank,8,3.079442,3,15.286735,47.074605,true,true,90
frontcone,6,2.791759,0,16.673029,46.547086,false,false,90
igniterplug,6,2.791759,0,16.673029,46.547086,false,false,90
filterbowl,6,2.791759,0,16.673029,46.547086,false,false,90
innerskin,6,2.791759,0,16.673029,46.547086,false,false,90
filtercap,6,2.791759,0,16.673029,46.547086,false,false,90
tipcurl,6,2.791759,0,16.673029,46.547086,false,false,90
borescoop,6,2.791759,0,16.673029,46.547086,false,false,90
boroscoop,6,2.791759,0,16.673029,46.547086,false,false,90
airfoil,44,4.78419,1216,9.568885,45.779359,true,false,90
flowcheck,6,2.791759,1,15.979882,44.611986,true,true,90
alodine,6,2.791759,1,15.979882,44.611986,true,true,90
inspectionlot,5,2.609438,0,16.673029,43.507234,false,false,90
partnr,5,2.609438,0,16.673029,43.507234,false,false,90
fillercap,5,2.609438,0,16.673029,43.507234,false,false,90
shopvisit,5,2.609438,0,16.673029,43.507234,false,false,90
aircraft,1357,8.213032,106798,5.094325,41.839853,true,false,90
reverser,6,2.791759,200,11.369724,31.741535,true,false,90
thrustmount,2,1.693147,0,16.673029,28.229892,false,false,90
boostervane,2,1.693147,0,16.673029,28.229892,false,false,90
pylon,5,2.609438,1645,9.266926,24.181467,true,false,90
bellcrank,2,1.693147,26,13.377192,22.649555,true,false,90
overhaul,6,2.791759,11058,7.362029,20.553014,true,false,90
doubler,2,1.693147,203,11.354909,19.225532,true,false,90
brading,2,1.693147,241,11.184091,18.936312,true,false,90
inletcowl,1,1.0,0,16.673029,16.673029,false,false,90
straterduct,1,1.0,0,16.673029,16.673029,false,false,90
fanframe,1,1.0,0,16.673029,16.673029,false,false,90
precoolervalve,1,1.0,0,16.673029,16.673029,false,false,90
ignitionlead,1,1.0,0,16.673029,16.673029,false,false,90
tipshroud,1,1.0,0,16.673029,16.673029,false,false,90
aerodrome,3,2.098612,6288,7.926472,16.634591,true,false,90
fanblades,1,1.0,1,15.979882,15.979882,true,true,90
helicoil,1,1.0,5,14.881269,14.881269,true,false,90
wing,5,2.609438,135777,4.854252,12.66687,true,false,90
nacelle,1,1.0,710,10.106356,10.106356,true,false,90
inflight,1,1.0,738,10.067731,10.067731,true,false,90
centerline,1,1.0,1345,9.468136,9.468136,true,false,90
upperbleed,1,1.0,0,16.673029,16.673029,false,false,88
exciterbox,37,4.610918,0,16.673029,76.877968,false,false,85
lockwire,48,4.871201,3,15.286735,74.464757,true,true,85
thrustlink,28,4.332205,0,16.673029,72.230971,false,false,85
startduct,1,1.0,0,16.673029,16.673029,false,false,85
tipclearane,1,1.0,0,16.673029,16.673029,false,false,85
fairing,1,1.0,1421,9.413209,9.413209,true,false,85
abradable,320,6.768321,11,14.188122,96.029766,true,false,80
spinnercone,17,3.833213,0,16.673029,63.911277,false,false,80
nozzle,343,6.83773,1736,9.213114,62.996791,true,false,80
exiter,24,4.178054,4,15.063591,62.936494,true,true,80
hydromechanical,50,4.912023,52,12.702737,62.396136,true,false,80
compressor,454,7.118097,2901,8.699873,61.926545,true,false,80
precooler,27,4.295837,10,14.275134,61.323645,true,false,80
igniter,88,5.477337,239,11.19239,61.30449,true,false,80
schroud,16,3.772589,1,15.979882,60.285522,true,true,80
partnumber,16,3.772589,1,15.979882,60.285522,true,true,80
anodization,29,4.367296,18,13.72859,59.956814,true,false,80
scavange,14,3.639057,1,15.979882,58.151706,true,true,80
fancase,12,3.484907,0,16.673029,58.103949,false,false,80
shroud,192,6.257495,1908,9.118694,57.060186,true,false,80
contaiment,13,3.564949,1,15.979882,56.967469,true,true,80
nondestructive,68,5.219508,321,10.898477,56.884687,true,false,80
birdcase,11,3.397895,0,16.673029,56.653206,false,false,80
dillution,11,3.397895,0,16.673029,56.653206,false,false,80
blade,1503,8.315218,19593,6.79005,56.46075,true,false,80
stator,72,5.276666,458,10.543979,55.637055,true,false,80
boroscope,14,3.639057,3,15.286735,55.629303,true,true,80
unbonding,16,3.772589,8,14.475804,54.611256,true,false,80
turnbuckle,57,5.043051,444,10.574955,53.330038,true,false,80
combuster,12,3.484907,7,14.593587,50.85729,true,false,80
debonding,16,3.772589,34,13.117681,49.487615,true,false,80
repairable,35,4.555348,340,10.841146,49.385195,true,false,80
anodize,11,3.397895,9,14.370444,48.829263,true,false,80
containment,123,5.812184,3989,8.381482,48.714721,true,false,80
aft,228,6.429346,10572,7.40697,47.62197,true,false,80
strut,92,5.521789,3287,8.574994,47.349305,true,false,80
serviceable,64,5.158883,1868,9.13987,47.151521,true,false,80
blendable,9,3.197225,6,14.727119,47.085906,true,false,80
sheat,16,3.772589,68,12.438922,46.926938,true,false,80
abredable,6,2.791759,0,16.673029,46.547086,false,false,80
rotor,92,5.521789,4075,8.360158,46.163022,true,false,80
maintenance,1384,8.232733,65049,5.590117,46.021945,true,false,80
clearance,218,6.384495,14644,7.081175,45.209725,true,false,80
clearence,7,2.94591,3,15.286735,45.033346,true,true,80
circumferential,30,4.401197,675,10.156836,44.702239,true,false,80
booster,88,5.477337,5125,8.130948,44.535941,true,false,80
penetrant,15,3.70805,122,11.860845,43.980607,true,false,80
starter,288,6.66296,23986,6.587762,43.893995,true,false,80
thrust,154,6.036953,12335,7.252752,43.784519,true,false,80
stopnut,5,2.609438,0,16.673029,43.507234,false,false,80
cocking,23,4.135494,621,10.240089,42.347828,true,false,80
engine,1098,8.001246,95618,5.204902,41.6457,true,false,80
bolthead,6,2.791759,6,14.727119,41.114573,true,false,80
ignitor,10,3.302585,70,12.410349,40.986234,true,false,80
bulletin,169,6.129899,25830,6.513698,39.928311,true,false,80
containmentcase,4,2.386294,0,16.673029,39.786755,false,false,80
burnspot,4,2.386294,0,16.673029,39.786755,false,false,80
threadmark,4,2.386294,0,16.673029,39.786755,false,false,80
pawl,13,3.564949,280,11.034674,39.338055,true,false,80
actuator,18,3.890372,804,9.982187,38.834417,true,false,80
servo,22,4.091042,1386,9.43813,38.611792,true,false,80
pitting,30,4.401197,2869,8.710962,38.338661,true,false,80
nick,341,6.831882,64920,5.592102,38.204587,true,false,80
exentricity,4,2.386294,1,15.979882,38.132702,true,true,80
reinspection,6,2.791759,24,13.454153,37.560759,true,false,80
inlet,57,5.043051,10210,7.441808,37.52942,true,false,80
arrestor,10,3.302585,285,11.017037,36.384702,true,false,80
lubrication,18,3.890372,1854,9.147389,35.586744,true,false,80
heater,20,3.995732,2426,8.878618,35.476579,true,false,80
lockpin,3,2.098612,0,16.673029,34.990223,false,false,80
outerskin,3,2.098612,0,16.673029,34.990223,false,false,80
bumperseal,3,2.098612,0,16.673029,34.990223,false,false,80
inlimit,3,2.098612,0,16.673029,34.990223,false,false,80
supplytube,3,2.098612,0,16.673029,34.990223,false,false,80
tipside,3,2.098612,0,16.673029,34.990223,false,false,80
cowl,14,3.639057,1185,9.594687,34.915617,true,false,80
ballbearing,4,2.386294,7,14.593587,34.824595,true,false,80
unserviceable,10,3.302585,462,10.535302,34.793731,true,false,80
arcing,10,3.302585,508,10.440581,34.480907,true,false,80
liner,85,5.442651,31817,6.305241,34.31723,true,false,80
bushings,8,3.079442,302,10.959296,33.748512,true,false,80
igniton,3,2.098612,1,15.979882,33.535576,true,true,80
labyrinth,21,4.044522,4853,8.185471,33.106319,true,false,80
splitter,11,3.397895,1099,9.669963,32.857523,true,false,80
rivet,10,3.302585,938,9.828213,32.458511,true,false,80
core,152,6.023881,90444,5.260532,31.688814,true,false,80
adapter,14,3.639057,3106,8.631616,31.410945,true,false,80
exchanger,9,3.197225,1063,9.703238,31.023432,true,false,80
etop,3,2.098612,6,14.727119,30.906512,true,false,80
retainer,11,3.397895,2112,9.017165,30.639382,true,false,80
conector,3,2.098612,7,14.593587,30.626282,true,false,80
boltholes,3,2.098612,9,14.370444,30.15799,true,false,80
isolator,5,2.609438,169,11.53723,30.105687,true,false,80
insulator,8,3.079442,1170,9.607416,29.585475,true,false,80
cradle,16,3.772589,7361,7.768942,29.309023,true,false,80
servicable,3,2.098612,15,13.90044,29.171635,true,false,80
chord,18,3.890372,10934,7.373305,28.684897,true,false,80
clockposition,2,1.693147,0,16.673029,28.229892,false,false,80
anodisation,2,1.693147,0,16.673029,28.229892,false,false,80
abradible,2,1.693147,0,16.673029,28.229892,false,false,80
fuelmanifold,2,1.693147,0,16.673029,28.229892,false,false,80
strutpanel,2,1.693147,0,16.673029,28.229892,false,false,80
safetywire,2,1.693147,0,16.673029,28.229892,false,false,80
sterderduct,2,1.693147,0,16.673029,28.229892,false,false,80
fuelpackage,2,1.693147,0,16.673029,28.229892,false,false,80
burnmark,2,1.693147,0,16.673029,28.229892,false,false,80
fanduct,2,1.693147,0,16.673029,28.229892,false,false,80
jobcard,2,1.693147,0,16.673029,28.229892,false,false,80
