Word,Rating 1,Rating 2,Rating 3,consensus,mean_rating,max_disagreement,word_lower,tfidf_score,tfidf_category
abradable,2,2,2,2,2.0,0,abradable,96.029766,1
fanblade,2,1,1,1,1.3333333333333333,1,fanblade,94.584924,1
borescope,2,2,2,2,2.0,0,borescope,90.921747,1
vane,2,2,2,2,2.0,0,vane,64.776963,2
spinnercone,1,1,,1,1.0,0,spinnercone,63.911277,2
nozzle,2,2,2,2,2.0,0,nozzle,62.996791,2
hydromechanical,2,2,2,2,2.0,0,hydromechanical,62.396136,2
compressor,2,2,2,2,2.0,0,compressor,61.926545,2
precooler,2,2,2,2,2.0,0,precooler,61.323645,2
igniter,2,2,2,2,2.0,0,igniter,61.30449,2
gearbox,2,2,2,2,2.0,0,gearbox,60.790976,2
anodization,2,2,2,2,2.0,0,anodization,59.956814,2
combustor,2,2,2,2,2.0,0,combustor,57.673945,2
turbine,2,2,2,2,2.0,0,turbine,57.339238,2
shroud,2,2,2,2,2.0,0,shroud,57.060186,2
nondestructive,2,2,2,2,2.0,0,nondestructive,56.884687,2
blade,2,2,1,2,1.6666666666666667,1,blade,56.46075,2
stator,2,1,1,1,1.3333333333333333,1,stator,55.637055,2
boroscope,2,2,2,2,2.0,0,boroscope,55.629303,2
turnbuckle,2,2,2,2,2.0,0,turnbuckle,53.330038,2
spinner,1,2,2,2,1.6666666666666667,1,spinner,52.618151,2
deflector,2,2,2,2,2.0,0,deflector,52.607296,2
axial,2,2,2,2,2.0,0,axial,50.29156,2
debonding,2,2,3,2,2.3333333333333335,1,debonding,49.487615,3
repairable,2,2,2,2,2.0,0,repairable,49.385195,3
replaceable,4,4,3,4,3.6666666666666665,1,replaceable,49.150202,3
anodize,2,2,2,2,2.0,0,anodize,48.829263,3
eccentricity,2,3,2,2,2.3333333333333335,1,eccentricity,48.716248,3
containment,,3,2,3,2.5,1,containment,48.714721,3
aft,2,1,2,2,1.6666666666666667,1,aft,47.62197,3
strut,2,2,2,2,2.0,0,strut,47.349305,3
serviceable,3,3,4,3,3.3333333333333335,1,serviceable,47.151521,3
blendable,4,4,3,4,3.6666666666666665,1,blendable,47.085906,3
rotor,2,2,3,2,2.3333333333333335,1,rotor,46.163022,3
maintenance,4,4,3,4,3.6666666666666665,1,maintenance,46.021945,3
