Word,Rating 1,Rating 2,Rating 3,consensus,mean_rating,max_disagreement
aerodrome,1,1,1,1,1.0,0
air,4,4,4,4,4.0,0
aircraft,1,1,1,1,1.0,0
airspeed,1,1,1,1,1.0,0
alodine,2,2,,2,2.0,0
anodization,2,2,2,2,2.0,0
anodize,2,2,2,2,2.0,0
aviation,3,3,4,3,3.3333333333333335,1
axial,2,2,2,2,2.0,0
bellcrank,2,,2,2,2.0,0
birdstrike,3,3,3,3,3.0,0
blistering,2,2,3,2,2.3333333333333335,1
boltholes,2,2,2,2,2.0,0
boostervane,2,2,2,2,2.0,0
boroscope,2,2,2,2,2.0,0
buckles,2,2,2,2,2.0,0
burner,2,2,3,2,2.3333333333333335,1
casing,3,4,3,3,3.3333333333333335,1
cavitation,2,2,2,2,2.0,0
centerline,2,2,2,2,2.0,0
certificate,4,3,4,4,3.6666666666666665,1
chaffing,2,2,3,2,2.3333333333333335,1
combustor,2,2,2,2,2.0,0
combustion,2,2,2,2,2.0,0
composite,2,2,3,2,2.3333333333333335,1
conformance,3,3,3,3,3.0,0
convex,2,2,3,2,2.3333333333333335,1
corrective,4,4,4,4,4.0,0
deflection,2,2,2,2,2.0,0
deformation,2,2,2,2,2.0,0
delamination,2,2,2,2,2.0,0
desiccant,3,3,,3,3.0,0
exchanger,2,2,2,2,2.0,0
fanblade,2,1,1,1,1.3333333333333333,1
honeycomb,2,1,1,1,1.3333333333333333,1
nipple,2,2,2,2,2.0,0
unserviceable,2,1,1,1,1.3333333333333333,1
dovetail,3,4,,3,3.5,1
driveshaft,2,2,2,2,2.0,0
eccentricity,2,3,2,2,2.3333333333333335,1
fairing,2,2,2,2,2.0,0
familiarization,4,4,3,4,3.6666666666666665,1
grooves,4,4,4,4,4.0,0
interlock,2,2,2,2,2.0,0
lanyard,2,2,2,2,2.0,0
locator,2,2,3,2,2.3333333333333335,1
nondestructive,2,2,2,2,2.0,0
nozzles,2,2,2,2,2.0,0
pawl,2,,2,2,2.0,0
penetrant,2,2,2,2,2.0,0
pigtail,2,3,2,2,2.3333333333333335,1
pilot,1,1,1,1,1.0,0
pneumatic,2,2,3,2,2.3333333333333335,1
precooler,2,2,2,2,2.0,0
radial,2,3,2,2,2.3333333333333335,1
reinspection,2,2,2,2,2.0,0
retainer,2,2,2,2,2.0,0
rework,4,4,3,4,3.6666666666666665,1
rib,2,2,2,2,2.0,0
rotor,2,2,3,2,2.3333333333333335,1
separator,3,4,3,3,3.3333333333333335,1
servo,2,2,2,2,2.0,0
sleeving,2,2,,2,2.0,0
structural,3,3,3,3,3.0,0
strut,2,2,2,2,2.0,0
swirler,2,2,,2,2.0,0
tedlar,2,,,2,2.0,0
thrust,2,1,2,2,1.6666666666666667,1
unscheduled,4,4,4,4,4.0,0
unthreaded,2,2,2,2,2.0,0
airworthiness,1,1,1,1,1.0,0
abradable,2,2,2,2,2.0,0
turnbuckle,2,2,2,2,2.0,0
serviceable,3,3,4,3,3.3333333333333335,1
blendable,4,4,3,4,3.6666666666666665,1
torque,2,2,2,2,2.0,0
bumperseal,,2,2,2,2.0,0
jobcard,1,2,1,1,1.3333333333333333,1
polytetrafluoroethylene,2,2,2,2,2.0,0
