term,raw_count_domain,tf,df_wikipedia,idf,tfidf_score,in_wikipedia,below_min_df
abradable,320,6.768321,11,14.188122,96.029766,true,false
fanblade,179,6.187386,3,15.286735,94.584924,true,true
borescope,323,6.777652,25,13.414932,90.921747,true,false
tipclearance,51,4.931826,0,16.673029,82.228471,false,false
unbonded,175,6.164786,56,12.629978,77.861109,true,false
exciterbox,37,4.610918,0,16.673029,76.877968,false,false
exciter,351,6.860786,280,11.034674,75.706541,true,false
bushing,309,6.733341,234,11.213443,75.503941,true,false
lockwire,48,4.871201,3,15.286735,74.464757,true,true
dampener,142,5.955827,80,12.27858,73.129097,true,false
thrustlink,28,4.332205,0,16.673029,72.230971,false,false
excentricity,41,4.713572,5,14.881269,70.143936,true,false
accessory,2229,8.709308,6571,7.882455,68.650735,true,false
dampner,35,4.555348,5,14.881269,67.789362,true,false
bolthole,51,4.931826,20,13.628506,67.213417,true,false
testcell,20,3.995732,0,16.673029,66.62096,false,false
starterduct,20,3.995732,0,16.673029,66.62096,false,false
clevis,66,5.189655,49,12.761006,66.225215,true,false
tipcorner,19,3.944439,0,16.673029,65.765745,false,false
flange,349,6.855072,1189,9.59132,65.749191,true,false
subtask,56,5.025352,42,12.911829,64.886481,true,false
vane,590,7.380123,2685,8.777221,64.776963,true,false
spinnercone,17,3.833213,0,16.673029,63.911277,false,false
ndo,70,5.248495,95,12.108681,63.552353,true,false
hydr,37,4.610918,18,13.72859,63.301401,true,false
nozzle,343,6.83773,1736,9.213114,62.996791,true,false
exiter,24,4.178054,4,15.063591,62.936494,true,true
sump,240,6.480639,1057,9.708893,62.919832,true,false
hydromechanical,50,4.912023,52,12.702737,62.396136,true,false
scavenge,192,6.257495,813,9.971069,62.393915,true,false
compressor,454,7.118097,2901,8.699873,61.926545,true,false
coking,166,6.111988,697,10.12481,61.882714,true,false
serveral,26,4.258097,8,14.475804,61.639372,true,false
precooler,27,4.295837,10,14.275134,61.323645,true,false
igniter,88,5.477337,239,11.19239,61.30449,true,false
gearbox,777,7.65544,6198,7.940886,60.790976,true,false
ignition,699,7.549651,5592,8.043758,60.727562,true,false
dent,693,7.54103,5567,8.048238,60.692002,true,false
bleed,503,7.22059,3951,8.391052,60.588346,true,false
schroud,16,3.772589,1,15.979882,60.285522,true,true
partnumber,16,3.772589,1,15.979882,60.285522,true,true
anodization,29,4.367296,18,13.72859,59.956814,true,false
teflon,149,6.003946,840,9.938437,59.669844,true,false
altenator,13,3.564949,0,16.673029,59.438504,false,false
inspection,2707,8.903596,23991,6.587553,58.652914,true,false
scavange,14,3.639057,1,15.979882,58.151706,true,true
fancase,12,3.484907,0,16.673029,58.103949,false,false
